"married_woman","avg_wage","ano","trimestre"
0,2976.42715990307,2022,1
1,2707.55117133991,2022,1
0,3029.47675636201,2022,2
1,2721.82616086534,2022,2
1,2804.85078872903,2022,3
0,3139.84383306731,2022,3
0,3199.94226225176,2022,4
1,2846.57528770831,2022,4
0,3206.42080467058,2023,1
1,2934.88858836316,2023,1
0,3206.74604015635,2023,2
1,2933.01677765397,2023,2
0,3251.57872613028,2023,3
1,3057.63687044844,2023,3
0,3289.20213637297,2023,4
1,3039.44464097792,2023,4
0,3337.54320237206,2024,1
1,3140.33490849604,2024,1
