Ano_trimestre,massa_perdida.V1,salario_perdido_devido_menor_p_emp.V1,massa_perdida_emp_equivalente_devido_discr.V1
2012T1,-2681009639.44369,-2653541228.1285,-27468411.3151941
2012T2,-4563790434.31626,-4540082542.75955,-23707891.5567045
2012T3,-4282671584.17783,-4258566853.82621,-24104730.3516169
2012T4,-4216490912.04835,-4192205046.83829,-24285865.2100592
2013T1,-4735843169.64472,-4711693199.10971,-24149970.5350075
2013T2,-4685939073.71638,-4662835543.2637,-23103530.4526834
2013T3,-2254322745.24748,-2226415644.48665,-27907100.7608323
2013T4,-1926015545.45276,-1897721892.96776,-28293652.4849997
2014T1,-2308420589.56502,-2281174204.8961,-27246384.6689177
2014T2,-1958131139.74181,-1930717507.42543,-27413632.3163793
2014T3,-2072279961.95274,-2044096225.69424,-28183736.258497
2014T4,-4329622979.33816,-4306043237.95074,-23579741.3874197
2015T1,-5795789731.71521,-5772561519.24543,-23228212.4697828
2015T2,-4838100791.0691,-4814133518.53505,-23967272.5340528
2015T3,-5075476975.16015,-5052073174.26068,-23403800.8994684
2015T4,-5370632603.89181,-5346704637.74464,-23927966.147172
2016T1,-6263265266.83881,-6240242479.52451,-23022787.3142986
2016T2,-7118010697.36609,-7095341435.17121,-22669262.1948729
2016T3,-6694689266.32164,-6672059811.691,-22629454.6306438
2016T4,-7606249364.68242,-7584825822.62628,-21423542.0561371
2017T1,-7974692051.77297,-7952678848.64465,-22013203.1283178
2017T2,-3097965086.87445,-3076264068.72443,-21701018.1500154
2017T3,-2860069978.15486,-2836594604.54461,-23475373.6102548
2017T4,-7322772293.87149,-7300633562.90726,-22138730.9642305
2018T1,-7645455604.66872,-7623012158.33628,-22443446.3324451
2018T2,-7405506839.51833,-7382600325.98776,-22906513.5305615
2018T3,-7035361864.96338,-7012277554.58346,-23084310.37992
2018T4,-7582331172.86033,-7558240326.54516,-24090846.3151703
2019T1,-8400099997.06967,-8376312192.69138,-23787804.378294
2019T2,-7979455472.95018,-7956862369.12546,-22593103.8247271
2019T3,-7945362780.07231,-7921955277.30355,-23407502.7687588
2019T4,-7786923342.45381,-7762388455.80611,-24534886.6477041
2020T1,-9354108773.50076,-9331325620.11837,-22783153.382391
2020T2,-7790393432.11019,-7766170644.32602,-24222787.7841625
2020T3,-9683886436.98963,-9660243479.66784,-23642957.3217907
2020T4,-9700040170.98001,-9678235783.13943,-21804387.84058
2021T1,-10408142067.1145,-10384011247.8264,-24130819.288065
2021T2,-9273190602.47074,-9250365597.46471,-22825005.0060329
2021T3,-8533781278.67133,-8511174047.14061,-22607231.5307159
2021T4,-7381377484.50389,-7358176480.44794,-23201004.0559511
2022T1,-7062510257.43858,-7039644386.64043,-22865870.7981482
2022T2,-7011120421.44378,-6987270759.87309,-23849661.570694
2022T3,-7035663432.46477,-7012110049.10061,-23553383.3641529
2022T4,-3279954426.42957,-3255800398.83484,-24154027.5947309
2023T1,-3459821105.32938,-3437284377.61742,-22536727.7119579
2023T2,-2723838228.25499,-2700813805.8932,-23024422.3617888
2023T3,-2906986418.41895,-2883304241.31653,-23682177.1024246
2023T4,-3216869091.68138,-3193363448.012,-23505643.6693735
2024T1,-6086649436.22283,-6063106664.74071,-23542771.4821215
