"mother","avg_wage","ano","trimestre"
1,2578.586881944,2022,1
0,3108.31711982793,2022,1
1,2620.53629041454,2022,2
0,3163.15755981437,2022,2
1,2704.24090659776,2022,3
0,3280.40310695768,2022,3
0,3348.69127973076,2022,4
1,2741.55028091349,2022,4
0,3346.09345977914,2023,1
1,2793.11010857001,2023,1
0,3352.99195412885,2023,2
1,2780.352997001,2023,2
0,3405.25994305056,2023,3
1,2835.90487152158,2023,3
0,3445.92319262951,2023,4
1,2849.69363450665,2023,4
0,3493.29871195469,2024,1
1,2913.7325274717,2024,1
