"private_formal","avg_wage","ano","trimestre"
1,2930.39523105562,2022,1
NA,NA,2022,1
0,2963.35811481557,2022,1
1,2942.99040183576,2022,2
0,3035.72689898345,2022,2
NA,NA,2022,2
0,3163.3605487002,2022,3
NA,NA,2022,3
1,3019.87044359515,2022,3
0,3245.46311892401,2022,4
NA,NA,2022,4
1,3044.35580752501,2022,4
0,3274.40642458371,2023,1
NA,NA,2023,1
1,3040.62418795242,2023,1
0,3285.73030829583,2023,2
NA,NA,2023,2
1,3020.47965444129,2023,2
0,3337.31886430553,2023,3
NA,NA,2023,3
1,3076.11821868661,2023,3
0,3345.77616233508,2023,4
NA,NA,2023,4
1,3143.38690475248,2023,4
0,3431.45993374566,2024,1
NA,NA,2024,1
1,3151.59560998282,2024,1
