"private_informal","avg_wage","ano","trimestre"
0,3052.05371417231,2022,1
NA,NA,2022,1
1,2127.37536866871,2022,1
0,3084.73385305216,2022,2
1,2334.41249360831,2022,2
NA,NA,2022,2
0,3210.78022717054,2022,3
NA,NA,2022,3
1,2300.47607099231,2022,3
0,3278.63234720661,2022,4
NA,NA,2022,4
1,2294.17127935538,2022,4
0,3269.34513157653,2023,1
NA,NA,2023,1
1,2476.5150400873,2023,1
0,3283.89479508036,2023,2
NA,NA,2023,2
1,2376.23837373468,2023,2
0,3340.9917272695,2023,3
NA,NA,2023,3
1,2402.65760811902,2023,3
0,3359.98915650083,2023,4
NA,NA,2023,4
1,2538.72183358194,2023,4
0,3409.91560459595,2024,1
NA,NA,2024,1
1,2622.96241517116,2024,1
