"public_service","avg_wage","ano","trimestre"
0,2714.42565904548,2022,1
NA,NA,2022,1
1,4561.68372027502,2022,1
0,2754.13391931459,2022,2
NA,NA,2022,2
1,4638.43745441653,2022,2
0,2855.86812557808,2022,3
NA,NA,2022,3
1,4760.51736318987,2022,3
0,2922.02896818463,2022,4
NA,NA,2022,4
1,4778.78536952511,2022,4
0,2936.02782956525,2023,1
NA,NA,2023,1
1,4830.50676523751,2023,1
0,2930.15001142573,2023,2
NA,NA,2023,2
1,4823.88915150372,2023,2
0,2977.19210751289,2023,3
NA,NA,2023,3
1,4931.49302182449,2023,3
0,3008.16432371498,2023,4
NA,NA,2023,4
1,4998.62918830037,2023,4
0,3060.34525598576,2024,1
NA,NA,2024,1
1,5087.24597298647,2024,1
