"aux_familiar","avg_wage","ano","trimestre"
0,2950.73648186945,2022,1
NA,NA,2022,1
1,725.733565595139,2022,1
0,2999.73370309196,2022,2
NA,NA,2022,2
1,602.928566496351,2022,2
0,3107.1673425079,2022,3
NA,NA,2022,3
1,977.381165654345,2022,3
0,3165.81875589934,2022,4
NA,NA,2022,4
1,1430.74923045953,2022,4
0,3180.31830048997,2023,1
NA,NA,2023,1
1,1698.54847869917,2023,1
0,3180.45974470735,2023,2
NA,NA,2023,2
1,1922.53475743969,2023,2
0,3233.17486392494,2023,3
NA,NA,2023,3
1,1065.21411429002,2023,3
0,3264.7271487855,2023,4
NA,NA,2023,4
1,1147.16163217787,2023,4
0,3318.5837979262,2024,1
NA,NA,2024,1
1,1168.47406116779,2024,1
