"servicos_pessoais_coletivos","avg_wage","ano","trimestre"
0,3106.82386593738,2022,1
NA,NA,2022,1
1,1713.51993275592,2022,1
0,3152.06324830995,2022,2
1,1792.63462311383,2022,2
NA,NA,2022,2
1,1815.84886702499,2022,3
0,3273.49775153071,2022,3
NA,NA,2022,3
0,3335.18801321818,2022,4
NA,NA,2022,4
1,1829.44495688698,2022,4
0,3347.27904177928,2023,1
NA,NA,2023,1
1,1835.96747012822,2023,1
0,3353.50069378938,2023,2
NA,NA,2023,2
1,1816.6069047249,2023,2
0,3405.27901897601,2023,3
NA,NA,2023,3
1,1847.35614180981,2023,3
0,3450.10514299741,2023,4
NA,NA,2023,4
1,1824.156681567,2023,4
0,3488.2394956746,2024,1
NA,NA,2024,1
1,1974.8260428792,2024,1
