"white","avg_wage","ano","trimestre"
0,2294.1278876674,2022,1
1,3756.87691720814,2022,1
0,2293.3036062706,2022,2
1,3870.75293065621,2022,2
0,2395.67170459734,2022,3
1,3989.47387841201,2022,3
0,2454.24731932297,2022,4
1,4054.70940636774,2022,4
0,2488.08294746944,2023,1
1,4050.27763606141,2023,1
0,2465.54684464395,2023,2
1,4069.74096208838,2023,2
0,2487.17644530815,2023,3
1,4161.94514037389,2023,3
0,2521.0725521016,2023,4
1,4206.42210916414,2023,4
0,2550.17556366427,2024,1
1,4291.40746133588,2024,1
