"rural","avg_wage","ano","trimestre"
0,3092.85331275074,2022,1
1,1693.81399950084,2022,1
0,3145.00225655697,2022,2
1,1720.56770586577,2022,2
0,3254.2978929824,2022,3
1,1805.63798705887,2022,3
0,3318.37379928502,2022,4
1,1786.30392874824,2022,4
0,3328.29281424611,2023,1
1,1797.6265633558,2023,1
0,3329.46305421782,2023,2
1,1786.65286474116,2023,2
0,3388.45752562661,2023,3
1,1777.33442258868,2023,3
0,3420.04092662963,2023,4
1,1753.94927614521,2023,4
0,3471.88514893275,2024,1
1,1802.77112676833,2024,1
